,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
4470, HELP PSI DBA BRIGHTPOINT HEALTH ,D," 100,000 ",Doctorate,D
5438, FINE GEMS NYC INC ,D," 47,000 ",Bachelor's,D
0549, SMITH & YEE INC ,D," 35,360 ",Bachelor's,D
2869, ART IN GENERAL INC ,D," 40,000 ",Master's,D
3249, 1100 ARCHITECT PC ,D," 66,000 ",Master's,D
3567, ARUP SERVICES NEW YORK LIMITED ,D," 92,000 ",Professional Degree,D
4856, JUDD WIRE INC ,D," 67,500 ",Master's,D
5943, INNODATA INC ,D," 135,000 ",Bachelor's,D
7903, ESTREICH & COMPANY INC ,D," 66,100 ",Bachelor's,D
2911, ATLANTIC INVESTMENT MANAGEMENT IN ,D," 150,000 ",Master's,D
3313, LOST PLANET EDITORIAL INC ,D," 50,000 ",Bachelor's,D
9260, MATTHEWS & CO LLP ,D," 64,000 ",Bachelor's,D
1941, GENERAL ATLANTIC SERVICE COMPANY ,D," 140,000 ",Bachelor's,D
2701, BERIK INC DBA BERIK MANAGEMENT ,D," 34,216 ",Bachelor's,D
4581, INVESTOR GROWTH CAPITAL INC ,D," 100,000 ",Bachelor's,D
6488, AKF GR LLC FORMERLYATKINSON KOVEN ,D," 87,289 ",Bachelor's,D
8604, DOWNTOWN REEL PRODUCTIONS INC ,D,   ,Bachelor's,D
9704, SUSAN SLOVER DESIGN INC ,D," 75,000 ",Master's,D
0321, CUCINELLI HOLDING CO LLC ,D," 85,000 ",Bachelor's,D
1575, G C CONSULTANTS INC ,D," 90,000 ",Master's,D
7390, BRETT DESIGN INC ,D," 40,227 ",Bachelor's,D
3438, STILLMAN MANAGEMENT INC ,D," 45,906 ",Bachelor's,D
3863, GRANITE CONSTRUCTION NORTHEAST IN ,D," 77,200 ",Master's,D
7628, WORMSER KIELY GALEF & JACOBS LLP ,D," 61,500 ",Professional Degree,D
8370, JADED JEWELS INC ,D," 45,000 ",Bachelor's,D
8553, PROFITNESS PHYSICAL THERAPY ,D," 72,080 ",Master's,D
0095, IMAGINATION THE AMERICAS INC ,D," 75,000 ",Master's,D
0970, CHILDREN S MUSEUM OF THE ARTS INC ,D," 36,683 ",Bachelor's,D
1743, AMELOTTE INTERNATIONAL CORPORATIO ,D," 32,454 ",Master's,D
1774, UNISYS ELECTRIC INC ,D," 68,640 ",Bachelor's,D
6963, ESPN ENTERPRISES INC PART OF THE ,D," 85,000 ",Master's,D
7084, CONNECTIONS PERSONNEL OF NEW YORK ,D," 130,000 ",Master's,D
8109, JAPAN EXPRESS AMERICA INC ,D," 65,000 ",Bachelor's,D
9567, AXENS NORTH AMERICA INC ,D," 90,000 ",Bachelor's,D
9986, ANDREA ROSEN GALLERY INC ,D," 42,000 ",Bachelor's,D
1040, MOTT STREET OPTICAL INC ,D," 40,167 ",Master's,D
1725, JONATHAN ROSE COMPANIES INC ,D," 125,000 ",Master's,D
3097, ZEICHNER ELLMAN AND KRAUSE LLP ,D," 147,500 ",Professional Degree,D
7134, PETER F POON ARCHITECT PC ,D," 70,000 ",Master's,D
9706, ABEL CINE TECH INC ,D," 120,000 ",Bachelor's,D
0234, THE AARON DIAMOND AIDS RESEARCH C ,D," 40,000 ",Master's,D
1707, C & M FIRST SERVICES INC ,D," 58,364 ",Master's,D
2381, DESIGN WORKS INTERNATIONAL INC ,D," 43,000 ",Bachelor's,D
7580, BERNARD TSCHUMI ARCHITECTS ,D," 60,000 ",Master's,D
8978, HASKELL JEWELS LLC ,D," 75,000 ",Bachelor's,D
3730, AMERICON CONSTRUCTION INC ,D," 60,000 ",Master's,D
5654, INFRAGISTICS INC ,D," 145,000 ",Doctorate,D
6520, KPMG LLP ,D," 110,000 ",Bachelor's,D
1398, MAYA ASSURANCE COMPANY ,D," 62,000 ",Bachelor's,D
3172, SACHS INSIGHTS INC ,D," 50,000 ",Master's,D
7473, LEARJET INC ,D," 61,461 ",Bachelor's,D
8101, COLTENE/WHALEDENT INC ,D," 75,000 ",Master's,D
0408, FRANCE DISPLAY CORPORATION ,D," 56,000 ",Bachelor's,D
1771, NRS LOGISTICS INC ,D," 45,000 ",Bachelor's,D
6364, CURRIMBHOY INC ,D," 39,520 ",Master's,D
9034, BANK OF TAIWAN NEW YORK BRANCH ,D," 36,400 ",Master's,D
0953, EDWARD I MILLS & ASSOC ARCHITECTS ,D," 70,000 ",Master's,D
2101, LAW OFFICES WONG WONG ASSOCIATES ,D," 35,000 ",Master's,D
2398, ZAMPERLA INC ,D," 78,000 ",Master's,D
2618, TIFFANY & LYMAN CHEN CORP ,D," 55,370 ",Bachelor's,D
4089, HOUSING WORKS INC ,D," 65,000 ",Master's,D
5552, R BEST PRODUCE INC ,D," 39,229 ",Master's,D
6432, EAST WEST MANAGEMENT INSTITUTE IN ,D," 62,150 ",Master's,D
7939, VYPAK CORPORATION ,D," 79,102 ",Bachelor's,D
9719, ROSS INTERNATIONAL INC ,D," 52,000 ",Bachelor's,D
2426, NORDDEUTSCHE LANDESBANK GIROZENTR ,D," 115,000 ",Master's,D
3885, DOMINICAN WOMEN S DEVELOPMENT CTR ,D," 45,000 ",Master's,D
8353, RAIL EUROPE INC ,D," 98,300 ",Master's,D
9272, THERACARE OF NEW YORK ,D," 74,818 ",Master's,D
9274, THERACARE OF NEW YORK ,D," 74,818 ",Master's,D
9450, P WOLFE CONSULTANTS INC ,D," 60,000 ",Master's,D
1101, CLOTHING EMPORIUM INC ,D," 35,640 ",Master's,D
3578, THE BIRCH WATHEN LENOX SCHOOL INC ,D," 70,828 ",Master's,D
6909, TAIPEI FUBON COMMERCIAL BANK CO L ,D," 45,000 ",Professional Degree,D
8802, HAIR ZONE INC ,D," 75,000 ",Bachelor's,D
9811, KOREAN AMERICAN FAMILY SVC CTR IN ,D," 38,000 ",Master's,D
4182, BROMLEY CALDARI ARCHITECTS PC ,D," 55,411 ",Bachelor's,D
6398, TIC AKEAN INC ,D," 54,746 ",Master's,D
6643, UNITED ARAB AGENCIES INC ,D," 78,810 ",Bachelor's,D
8229, YENNI & CO INC D/B/A YENNI CAPITA ,D," 100,000 ",Master's,D
9578, ALMOD DIAMONDS LIMITED ,D," 56,000 ",Master's,D
0013, PACIFIC AMERICAN CORPORATION ,D," 85,000 ",Bachelor's,D
2107, MOSHOLU MONTEFIORE COMMUNITY CTR ,D," 44,647 ",Bachelor's,D
2671, R & S COMPUTERS INC DBA MIBAR.NET ,D," 120,000 ",Bachelor's,D
4155, COGNIZANT TECH SOLNS US CORP ,D," 60,000 ",Bachelor's,D
6494, EAST VILLAGE FARM & GROCERY INC ,D," 34,216 ",Master's,D
7542, COMMITTEE OF 100 ,D," 42,000 ",Master's,D
8201, NORTHERN LEASING SYSTEMS INC ,D," 75,000 ",Master's,D
8727, A ONE GEMS INC ,D," 28,080 ",Bachelor's,D
9804, AMNET NEW YORK INC ,D," 27,898 ",Bachelor's,D
2898, FLAT RATE MOVERS LTD ,D," 75,000 ",Bachelor's,D
3683, VINCENT CIRRINCIONE ASSO LTD ,D," 35,654 ",Master's,D
5317, GENE KAUFMAN ARCHITECT PC ,D," 68,000 ",Master's,D
7959, IBE TRADE CORP ,D," 52,800 ",Master's,D
8105, OGAWA-DEPARDON ARCHITECTS ,D," 42,000 ",Master's,D
1075, MCQUILLING PARTNERS INC ,D," 100,000 ",Bachelor's,D
2851, K INTERNATIONAL TRANSPORT CO INC ,D," 60,000 ",Master's,D
3185, ELLENOFF GROSSMAN & SCHOLE LLP ,D," 105,000 ",Professional Degree,D
3857, KIKKERLAND DESIGN INC ,D," 64,000 ",Master's,D
5702, EASYLINK SERVICES INTL CORP ,D," 124,735 ",Master's,D
6536, INTERCOS AMERICA INC ,D," 44,900 ",Bachelor's,D
7202, GALE P ELSTON PC ,D," 37,652 ",Professional Degree,D
8359, CROSSLAND MECHANICAL INC ,D," 100,000 ",Doctorate,D
9350, GERALD L COHEN DDS ,D," 70,226 ",Bachelor's,D
0054, WEISS/MANFREDI ARCHITECTS LLP ,D," 58,000 ",Master's,D
1163, SHUSTAK & PARTNERS P C ,D," 40,000 ",Bachelor's,D
3382, MAJESCO SOFTWARE AND SOLUTIONS IN ,D," 78,811 ",Master's,D
2965, REVLON CONSUMER PRODUCTS CORP ,D," 95,000 ",Master's,D
8362, NATURO-MEDICAL HEALTH CARE PC ,D," 50,000 ",Professional Degree,D
9731, CENTER FOR REPRODUCTIVE RIGHTS ,D," 63,000 ",Professional Degree,D
0012, KGB ,D," 127,500 ",Master's,D
0054, JASON W BROWN MD LLC ,D," 53,040 ",Bachelor's,D
0961, GUARDHILL FINANCIAL CORPORATION ,D," 150,000 ",Master's,D
1800, TBS SHIP MANAGEMENT INC ,D," 100,000 ",Bachelor's,D
4289, ANDREW DAVIDSON & CO INC ,D," 128,000 ",Master's,D
5627, ALPHA I MARKETING CORPORATION ,D," 108,800 ",Master's,D
6795, RESNICOW & ASSOCIATES INC ,D," 42,000 ",Bachelor's,D
6908, AUERBACH GRAYSON & CO LLC ,D," 150,000 ",Master's,D
0882, PANDA INTL TRADING OF NY INC ,D," 43,474 ",Master's,D
2192, LINK2CONSULT ,D," 139,360 ",Bachelor's,D
7475, SONY CORPORATION OF AMERICA ,D," 242,800 ",Bachelor's,D
9746, SARAMAX APPAREL GROUP INC ,D," 55,000 ",Bachelor's,D
1598, SASCO TRADING INC ,D," 75,000 ",Bachelor's,D
2415, COGNIZANT TECH SOLNS US CORP ,D," 60,000 ",Master's,D
2440, TOM HENNES INC D/B/A THINC DESIGN ,D," 90,000 ",Master's,D
3300, THE OPTIONS GROUP INC ,D," 120,000 ",Master's,D
3890, INTEGRATIVE NUTRITION INC DBA INS ,D," 97,000 ",Master's,D
4090, PACKAGING TECHS AND INSPECTION LL ,D," 62,000 ",Master's,D
4809, DENKA CORPORATION ,D," 42,000 ",Bachelor's,D
5654, BERARD ASSOCIATES INC ,D," 75,000 ",Bachelor's,D
5879, AITHENT INC ,D," 105,000 ",Master's,D
6713, GALLERY SYSTEMS INC ,D," 46,000 ",Master's,D
7990, GFC CAPITAL RESOURCES INC ,D," 45,000 ",Bachelor's,D
9819, VECTORGLOBAL WMG INC ,D," 82,054 ",Bachelor's,D
0189, RUCHELMAN PLLC ,D," 165,000 ",Professional Degree,D
5134, TBS SHIPPING SERVICES INC ,D," 200,000 ",Bachelor's,D
6365, APICHA COMMUNITY HEALTH CENTER ,D," 53,000 ",Bachelor's,D
6949, ULSTER CARPET MILLS NORTH AMERICA ,D," 33,987 ",Bachelor's,D
7056, AMERICAN ASSET CORPORATION COMPAN ,D," 62,000 ",Master's,D
1095, ISP OPTICS CORPORATION ,D," 72,000 ",Master's,D
5209, C3I INC SUBSIDIARY OF MERCK & CO ,D," 56,160 ",Master's,D
2381, RENEE COOLEY LIGHTING DESIGN INC ,D," 50,000 ",Master's,D
2728, MATHEWS NIELSEN LANDSCAPE ARCHITE ,D," 68,500 ",Master's,D
3681, DUFFY & BRACKEN PHYSICAL THERAPY ,D," 83,000 ",Master's,D
5209, HELLENIC ORTHODOX COMMUNITY OF ST ,D," 29,120 ",Master's,D
7641, LOWER EAST SIDE HARM REDUCTION CT ,D," 54,500 ",Master's,D
2113, S VINODKUMAR USA INC ,D," 55,370 ",Bachelor's,D
5444, RUSSIAN AND SLAVIC LANG SVCS INC ,D," 42,765 ",Master's,D
6135, FORTISTAR CAPITAL INC ,D," 165,000 ",Master's,D
3117, GREYSTONE & CO INC ,D," 95,000 ",Master's,D
4727, CTR FOR ECONOMIC & SOCIAL RIGHTS ,D," 60,000 ",Master's,D
5261, FIR TREE INC ,D," 180,000 ",Bachelor's,D
5296, TENNIS CLUB OF RIVERDALE INC ,D," 145,000 ",Bachelor's,D
6743, PREMIER STAFFING SVCS OF NY INC ,D," 65,000 ",Professional Degree,D
0215, MOA INTERNATIONAL CORP ,D," 38,020 ",Bachelor's,D
3932, ADMERASIA INC ,D," 42,000 ",Master's,D
6684, SCHOLTZ & COMPANY LLC ,D," 61,000 ",Bachelor's,D
7615, MAROCEAN BROKERS INC ,D," 90,000 ",Master's,D
8292, BOLU INC DBA TURKISH KITCHEN ,D," 48,173 ",Bachelor's,D
9888, ESPN PRODS INC PART OF THE WALT D ,D," 56,837 ",Bachelor's,D
9922, NUNHEMS USA INC ,D," 70,154 ",Master's,D
2633, REPUBLIC CLOTHING CORPORATION ,D," 100,000 ",Bachelor's,D
2943, K2 INTERNATIONAL CORP ,D," 28,600 ",Bachelor's,D
9407, FUTURE MEDIA CONCEPTS INC ,D," 57,400 ",Bachelor's,D
9746, LULLA INTERNATIONAL INC ,D," 45,000 ",Bachelor's,D
5400, THE NATION COMPANY LLC ,D," 110,000 ",Master's,D
7289, CLICK 3X LLC ,D," 50,000 ",Master's,D
7308, SANTANDER INVESTMENTS SECURITIES ,D," 85,000 ",Bachelor's,D
3360, FELENSTEIN WAS & ASSO INC ,D," 51,396 ",Bachelor's,D
4702, KATHERINE & GEORGE FAN FOUNDATION ,D," 76,000 ",Master's,D
6405, GE HEALTHCARE INC ,D," 118,000 ",Master's,D
9921, MACQUARIE HOLDINGS USA INC ,D," 120,000 ",Master's,D
1043, EASTDIL SECURED LLC ,D," 101,525 ",Master's,D
2192, CAROLINA HERRERA LTD ,D," 87,000 ",Bachelor's,D
2594, BY DESIGN LLC ,D," 29,887 ",Bachelor's,D
3835, MSGN HOLDINGS LP ,D," 45,563 ",Master's,D
6649, EXTELL DEVELOPMENT COMPANY ,D," 150,000 ",Master's,D
7214, AFRIDI ASSOCIATES ,D," 85,280 ",Master's,D
7971, ADA CORE TECHNOLOGIES INC ,D," 46,800 ",Master's,D
9258, SUNGARD SECURITIES FINANCE LLC ,D," 122,963 ",Bachelor's,D
9948, LIPSIG SHAPEY MANUS & MOVERMAN PC ,D,   ,Master's,D
1963, GOURMET GURU INC ,D," 67,000 ",Bachelor's,D
2069, ARKEN INC ,D," 72,488 ",Bachelor's,D
2826, DI DOMENICO PARTNERS LLP ,D," 55,500 ",Bachelor's,D
4456, FJA US INC ,D," 96,408 ",Bachelor's,D
6401, BARASCH & MCGARRY PC ,D," 81,286 ",Professional Degree,D
6762, DELIVERY.COM LLC ,D," 125,000 ",Master's,D
9583, DD PHARMACY INC DBA LEROY PHARMAC ,D," 50,960 ",Master's,D
9640, CERTIFIED OF NY INC ,D," 80,000 ",Master's,D
9814, PARADIGM ASSET MANAGEMENT CO LLC ,D," 65,500 ",Master's,D
2063, NADINE JOHNSON & ASSOCIATES INC ,D," 66,000 ",Bachelor's,D
2118, KOREAN-AMERICAN SOCIAL & LEGAL AI ,D," 43,555 ",Master's,D
3122, STAMFORD SCIENTIFIC INTL INC ,D," 50,000 ",Bachelor's,D
3528, WORLD FEDERALIST MOVEMENT INST FO ,D," 32,604 ",Master's,D
3538, WORLD FEDERALIST MOVEMENT/INST FO ,D," 65,130 ",Master's,D
7440, J K TRADING ASSOCIATE INC ,D," 68,000 ",Bachelor's,D
7773, SOFTCHOICE CORP ,D," 120,000 ",Bachelor's,D
8164, CAPITAL LINK INC ,D," 42,000 ",Master's,D
2804, ENTERPRISE ENGINEERING INC ,D," 162,000 ",Master's,D
4710, AMSTERDAM NURSING HOME CORP 1992 ,D," 83,850 ",Bachelor's,D
9754, PENTON LEARNING SYSTEMS LLC ,D," 50,000 ",Bachelor's,D
0611, THE SMALL ENTERPRISE ED & PROMOTI ,D," 46,000 ",Master's,D
0942, ABLE REAL ESTATE USA INC ,D," 42,541 ",Bachelor's,D
3560, CRYSTAL RUN HEALTHCARE LLP ,D," 315,000 ",Professional Degree,D
5494, DIANE VON FURSTENBERG STUDIO LLC ,D," 170,000 ",Bachelor's,D
5639," APOLLO ELECTRIC, INC. ",D," 38,355 ",Bachelor's,D
6075, MEDLEY GLOBAL ADVISORS LLC ,D," 123,000 ",Bachelor's,D
8008, KNOWLOGY CORPORATION ,D," 105,000 ",Bachelor's,D
0843, LE BOOK PUBLISHING INC ,D," 27,881 ",Master's,D
0905, FRANKEL LOUGHRAN STARR & VALLONE ,D," 80,000 ",Master's,D
2298, JAYJOSHUA INC ,D," 19,261 ",Bachelor's,D
5630, SIGULER GUFF & COMPANY LP ,D," 110,000 ",Bachelor's,D
6079, LANLINE COMMUNICATIONS INC ,D," 65,000 ",Master's,D
8854, ICAP CORPORATES LLC ,D," 125,000 ",Some College Credits,D
9813, COMPASS GROUP LLC ,D," 80,000 ",Bachelor's,D
0351, FUTURE STARS CAMPS TENNIS ACADEMY ,D," 45,000 ",Bachelor's,D
1628, LIVEPERSON INC ,D," 179,000 ",Bachelor's,D
1730, SERLING ROOKS HUNTER MCKOY & WORO ,D," 180,000 ",Master's,D
2529, ETHICAL CULTURE FIELDSTON SCHOOL ,D," 74,697 ",Master's,D
4096, CORE TECHNOLOGY SERVICES INC ,D," 78,000 ",Bachelor's,D
4247, THE TAI GROUP INC. ,D," 150,000 ",Bachelor's,D
4308, DIESEL USA INC ,D," 73,798 ",Bachelor's,D
5926, ALTERNET INC ,D," 47,580 ",Bachelor's,D
5982, SHACKMAN ASSOCIATES INTL INC ,D," 57,200 ",Bachelor's,D
8512, HALL & PARTNERS USA LLC ,D," 205,000 ",Bachelor's,D
8840, PATRONAGE OF CHRISTIAN ASSOCS OF ,D," 24,149 ",Master's,D
0253, LVMH MOET HENNESSY LOUIS VUITTON ,D," 400,000 ",Bachelor's,D
0446, MAGNUSSON ARCHITECTURE & PLANNING ,D," 50,000 ",Master's,D
1187, SOFTBANK TELECOM AMERICA CORP ,D," 77,250 ",Master's,D
1680, NICE SHOES ,D," 55,000 ",Master's,D
3790, LAW OFFICE OF THEODORE N COX ,D," 43,784 ",Master's,D
4103, THE INST FOR MUSIC & NEUROLOGIC F ,D," 27,300 ",Master's,D
4798, POLIFORM USA INC ,D," 50,000 ",Master's,D
6340, MAISON INTERNATIONAL LTD ,D," 44,000 ",Bachelor's,D
6443, LEIBOWITZ COMMUNICATIONS INC ,D," 76,000 ",Bachelor's,D
7546, TECH SYSTEMS INTEGRATION INC ,D," 31,231 ",Master's,D
8197, KUGLER NING LIGHTING DESIGN INC ,D," 55,000 ",Master's,D
9094, NEW YORK CTR FOR INFANT & TODDLER ,D," 66,300 ",Master's,D
9268, VENEZUS CORP ,D," 90,000 ",Master's,D
9842, STUDIO SOFIELD INC ,D," 47,000 ",Bachelor's,D
9959, SAVASTA AND COMPANY INC ,D," 53,893 ",Master's,D
0185, DIAMOND DIRECT LLC ,D," 68,000 ",Master's,D
0286, BLOOMBERG TRADEBOOK ,D," 56,000 ",Master's,D
1085, DIAMOND DIRECT LLC ,D," 85,000 ",Master's,D
4505, ORIENTAL GEMCO INC ,D," 60,000 ",Bachelor's,D
6807, DOCOMO INNOVATIONS INC ,D," 150,000 ",Doctorate,D
7001, KEY ITEMS INC ,D," 53,890 ",Bachelor's,D
7909, MOLOD SPITZ & DESANTIS PC ,D," 90,000 ",Professional Degree,D
8058, ANDREW BERMAN ARCHITECT PLLC ,D," 52,000 ",Bachelor's,D
9510, FINSBURY LLC ,D," 55,000 ",Bachelor's,D
0278, NICOLETTI HORNIG & SWEENEY ,D," 115,000 ",Professional Degree,D
0680, CINTRA SOFTWARE & SERVICES INC ,D," 93,725 ",Bachelor's,D
3144, PARAGON SECURITY AND LOCKSMITH IN ,D," 162,000 ",Bachelor's,D
3374, JIN GO GAE INC DBA WOORIJIP ,D," 50,221 ",Bachelor's,D
5761, STS JEWELS INC ,D," 77,500 ",Bachelor's,D
6094, PRICEWATERHOUSECOOPERS CORP FINAN ,D," 120,000 ",Master's,D
7166, TIMBER HILL LLC ,D," 110,000 ",Doctorate,D
7414, AQR CAPITAL MANAGEMENT LLC ,D," 180,000 ",Master's,D
7915, BO B K DESIGN CORP ,D," 38,522 ",Bachelor's,D
8416, LAW OFFICES OF JUN WANG ,D," 100,000 ",Professional Degree,D
0116, PHD MEDIA LLC ,D," 60,000 ",Master's,D
1418, MICHAEL H LOSHIGIAN DPM PC ,D," 124,800 ",Professional Degree,D
3957, NEW YORK INST OF ENGLISH & BUSINE ,D," 40,040 ",Bachelor's,D
5511, PLZ E HOTEL LLC DBA BENTLEY HOTEL ,D," 52,333 ",Bachelor's,D
5693, TOPSPIN CREATIVE CORPORATION ,D,   ,Bachelor's,D
6957, MAGAZINE MALL INC ,D,   ,Bachelor's,D
0011, MID-MANHATTAN PHYSICIAN SVCS PC ,D," 36,000 ",Master's,D
1669, WESTCON GROUP NORTH AMERICA INC ,D," 120,000 ",Master's,D
2131, NEW JIGU TRADING CORP ,D," 40,300 ",Bachelor's,D
4399, MANTRA INC DBA MOKA ,D," 51,000 ",Bachelor's,D
4479, DAIICHI SANKYO INC ,D," 132,954 ",Bachelor's,D
6524, FLIGHTSAFETY INTERNATIONAL INC ,D," 175,000 ",Bachelor's,D
6797, OLIVIA MILLER INC ,D," 49,958 ",Bachelor's,D
7663, CARL ZEISS INDUSTRIAL METROLOGY L ,D," 75,000 ",Doctorate,D
7800, WHOLESOME REALTY MANAGEMENT INC ,D," 33,600 ",Master's,D
8759, R2K INC ,D," 85,300 ",Bachelor's,D
9761, PR NEWSWIRE ASSOCIATION LLC ,D," 100,000 ",Bachelor's,D
1017, COLUMBIA TECHNOLOGY CORP ,D," 176,800 ",Master's,D
1136, FAR HILLS GROUP LLC ,D," 80,000 ",Master's,D
1555, COGNIZANT TECH SOLNS US CORP ,D," 116,813 ",Bachelor's,D
1922, PARK PLUS INC ,D," 121,534 ",Master's,D
2003, NTT AMERICA INC ,D," 84,000 ",Bachelor's,D
2175, HACHETTE BOOK GROUP INC ,D," 115,000 ",Master's,D
2414, JEFFREY BEERS INTERNATIONAL LLC ,D," 80,000 ",Bachelor's,D
2602, THIRD POINT LLC ,D," 200,000 ",Master's,D
2860, GRUBER PHOTOGRAPHERS INC ,D," 60,450 ",Master's,D
2970, CARIBBEAN FOOD DELIGHTS INC ,D," 55,530 ",Bachelor's,D
3233, DEALOGIC LLC ,D," 101,000 ",Master's,D
3495, CHINESE AMERICAN IPA INC ,D," 65,000 ",Master's,D
4156, COGNIZANT TECH SOLNS US CORP ,D," 80,995 ",Bachelor's,D
4430, VALENTINO USA INC ,D," 200,000 ",Bachelor's,D
4515, COGNIZANT TECH SOLNS US CORP ,D," 118,764 ",Bachelor's,D
4555, COGNIZANT TECH SOLNS US CORP ,D," 92,138 ",Master's,D
6041, WARSHAW GROUP INC ,D," 115,000 ",Master's,D
7419, GOLDMAN SACHS SERVICES LLC ,D," 85,000 ",Master's,D
8655, POSTER PUBLICITY LLC D/B/A KINETI ,D," 125,000 ",Master's,D
9237, SUCAMPO PHARMA AMERICAS LLC ,D," 72,000 ",Master's,D
9390, SUZANNE TICK INC ,D," 85,000 ",Bachelor's,D
1074, THE BRONX DEFENDERS ,D," 57,000 ",Professional Degree,D
1449, ENDEAVOR GLOBAL INC ,D," 360,706 ",Master's,D
2595, JTB USA INC ,D," 40,560 ",Bachelor's,D
3097, RYZ INC ,D," 38,759 ",Master's,D
5155, COGNIZANT TECH SOLNS US CORP ,D," 88,156 ",Bachelor's,D
5309, POWERMYLEARNING INC ,D," 80,000 ",Master's,D
5591, MRY US LLC ,D," 90,000 ",Bachelor's,D
6031, FRESH BAGELS FARMERS MARKET INC ,D," 97,000 ",Master's,D
7429, HARTREE PARTNERS LP ,D," 92,000 ",Master's,D
7924, KGF ASSOCIATES INC ,D," 145,600 ",Bachelor's,D
8051, JWIN ELECTRONICS CORP ,D," 39,835 ",Bachelor's,D
1069, OTC MARKETS GROUP INC ,D," 125,000 ",Bachelor's,D
1360, GRIFFIN SECURITIES INC ,D," 78,000 ",Bachelor's,D
1965, KUSHNER STUDIOS ARCHITECTURE & DE ,D," 26,000 ",Master's,D
2660, MUTUAL COMPUTER CONSULTING INC ,D," 124,000 ",Master's,D
5227, DBOX INC ,D," 70,000 ",Master's,D
6716, RUSSIAN AMERICAN FOUNDATION INC ,D," 45,000 ",Master's,D
8891, OMNESYS TECHNOLOGIES INC ,D," 96,000 ",Bachelor's,D
0460, RB INTERNATIONAL FINANCE USA LLC ,D," 64,459 ",Bachelor's,D
1308, YUM BRANDS INC ,D," 119,480 ",Bachelor's,D
1910, ODDO NEW YORK CORPORATION ,D," 115,000 ",Master's,D
3648, M FATEH K SULTAN MDS PC ,D," 60,611 ",Master's,D
4155, COGNIZANT TECH SOLNS US CORP ,D," 93,600 ",Bachelor's,D
4568, AID FOR AIDS INTERNATIONAL INC ,D," 60,000 ",Master's,D
5230, THE LEVY GROUP INC ,D," 173,000 ",No Diploma,D
5377, TEMENOS USA INC ,D," 93,750 ",Bachelor's,D
6923, TWINKLEDIAM INC ,D," 150,000 ",Bachelor's,D
7530, DEMATTEO MONNESS LLC ,D," 50,000 ",Bachelor's,D
9087, DIAMONDSTAR INC ,D," 52,525 ",Bachelor's,D
0937, SL GREEN MANAGMENT LLC ,D," 135,000 ",Master's,D
1852, LEND LEASE US SERVICES INC ,D," 104,520 ",Master's,D
2042, TREPP LLC ,D," 77,000 ",Bachelor's,D
2257, KAFFCO & COMPANY INC ,D," 57,049 ",Master's,D
3450, RUSSIAN SHOPPE INC ,D," 39,000 ",Master's,D
4038, CLEAR LIGHT INC ,D," 150,000 ",Master's,D
4076, C FAM INC ,D," 50,000 ",Doctorate,D
5769, DUVAL & STACHENFELD LLP ,D," 185,000 ",Professional Degree,D
5892, RCGA ARCHITECTS-INTERIOR DESIGN ,D," 67,746 ",Bachelor's,D
6156, MORGANS HOTEL GROUP MGT LLC ,D," 120,000 ",Bachelor's,D
6757, RIVERS CONSULTING & STAFFING INC ,D," 119,496 ",Master's,D
8122, CAI STUDIO ,D," 40,000 ",Master's,D
8436, MAGASCHONI INC ,D," 46,551 ",Master's,D
8866, SLEEPY HOLLOW PHYSICAL THERAPY ,D," 42,217 ",Bachelor's,D
9681, PINNACLE PLUMBING & HEATING CORP ,D," 20,530 ",Bachelor's,D
0965, MOUSSE PARTNERS LIMITED ,D," 58,000 ",Master's,D
1292, JOHN B MURRAY ARCHITECT LLC ,D," 59,280 ",Bachelor's,D
3099, KETCHUM INC ,D," 150,000 ",Bachelor's,D
5011, HOTEL CONNECTIONS INC ,D," 63,000 ",Bachelor's,D
5524, MCLAGAN PARTNERS INC ,D," 115,000 ",Master's,D
6161, MCKINSEY & COMPANY INC US ,D," 149,000 ",Master's,D
6876, ORBIMED ADVISORS LLC ,D," 162,500 ",Bachelor's,D
7031, CARLTON ADVISORY SERVICES INC ,D," 75,000 ",Master's,D
7432, FUTURE COMMS CORP OF NEW YORK ,D," 38,759 ",Master's,D
8097, BAGUETTE DIAM INC ,D," 62,800 ",Bachelor's,D
8176, EUPHRATES INC ,D," 43,115 ",Bachelor's,D
8513, M2S INC ,D," 63,000 ",Master's,D
8583, CANON BUSINESS PROC SVCS INC ,D," 151,072 ",Bachelor's,D
8668, RAMIUS ALTERNATIVE SOLUTIONS LLC ,D," 125,000 ",Master's,D
9978, BLJ WORLDWIDE LTD ,D," 67,650 ",Master's,D
2346, MST GEN CONTRACTING RESTORATION I ,D," 44,100 ",Master's,D
